Artist,Song,Year,Genre,Duration_mins,Popularity,Danceability,Valence
Musiq Soulchild,Halfcrazy,2002,"pop, R&B",4.24,58,0.412,0.418
Sean Paul,Gimme the Light,2002,"hip hop, pop",3.8,59,0.778,0.923
Faith Evans,I Love You,2001,"hip hop, pop, R&B",4.45,53,0.489,0.567
Charli Baltimore,Down 4 U,2002,pop,5.3,47,0.64,0.519
Kylie Minogue,Love at First Sight,2001,"pop, Dance/Electronic",3.97,55,0.603,0.48
N.O.R.E.,Nothin',2002,"hip hop, pop",4.41,58,0.791,0.742
Gareth Gates,Unchained Melody,2003,pop,3.89,35,0.368,0.208
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],2005,"hip hop, pop",4.48,63,0.66,0.761
Big Brovaz,Nu Flow,2001,pop,3.36,45,0.783,0.784
No Doubt,Hey Baby,2001,"rock, pop",3.45,24,0.705,0.746
Ashanti,Baby,2002,"hip hop, pop, R&B",4.43,55,0.567,0.46
Sophie Ellis-Bextor,Murder On The Dancefloor,2002,"pop, Dance/Electronic",3.83,62,0.734,0.863
Justin Timberlake,Like I Love You,2002,pop,4.73,62,0.853,0.9
Mary J. Blige,Rainy Dayz,2001,"pop, R&B",4.61,32,0.412,0.533
A1,Caught in the Middle,2001,pop,3.44,53,0.519,0.572
Eminem,Cleanin' Out My Closet,2002,hip hop,4.96,71,0.908,0.87
Ashanti,Happy,2002,"hip hop, pop, R&B",4.37,61,0.727,0.695
Delta Goodrem,Born to Try,2003,pop,4.19,54,0.542,0.336
P!nk,Get the Party Started,2001,pop,3.21,68,0.802,0.96
Alicia Keys,A Woman's Worth,2001,"pop, R&B",5.06,52,0.652,0.495
Daniel Bedingfield,Gotta Get Thru This - D'N'D Radio Edit,2002,pop,2.69,56,0.838,0.924
Coldplay,Clocks,2002,"rock, pop",5.13,79,0.577,0.255
Missy Elliott,Work It,2002,"hip hop, pop, R&B",4.39,70,0.884,0.584
Ronan Keating,If Tomorrow Never Comes,2002,"pop, rock",3.57,60,0.555,0.27
Big Tymers,Still Fly,2002,"hip hop, pop",5.59,64,0.675,0.56
Creed,My Sacrifice,2001,"pop, rock, metal",4.91,69,0.32,0.257
Ja Rule,Always On Time,2001,"hip hop, pop, R&B",4.09,73,0.839,0.839
Ashanti,Foolish,2002,"hip hop, pop, R&B",3.79,70,0.665,0.707
Avril Lavigne,Sk8er Boi,2002,pop,3.4,75,0.487,0.484
DJ Sammy,Heaven,2002,pop,3.89,63,0.571,0.601
Britney Spears,"I'm Not a Girl, Not Yet a Woman",2001,pop,3.85,58,0.534,0.418
Cam’ron,Oh Boy,2002,"hip hop, pop",3.41,67,0.754,0.828
Red Hot Chili Peppers,By the Way,2002,rock,3.62,73,0.451,0.198
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,2002,"rock, easy listening",3.53,60,0.597,0.717
Atomic Kitten,The Tide Is High - Radio Mix,2002,pop,3.43,65,0.783,0.665
*NSYNC,Girlfriend,2001,pop,4.23,50,0.745,0.858
Robbie Williams,Somethin' Stupid,2001,"pop, rock",2.84,64,0.654,0.677
Alanis Morissette,Hands Clean,2002,"pop, Folk/Acoustic",4.49,57,0.513,0.52
Usher,U Don't Have to Call,2001,"hip hop, pop, R&B",4.49,59,0.793,0.806
Creed,One Last Breath - Radio Version,2015,"pop, rock, metal",4.03,47,0.38,0.202
The Goo Goo Dolls,Here Is Gone,2002,"pop, rock",3.97,56,0.338,0.221
Puddle Of Mudd,She Hates Me,2001,"rock, metal",3.61,70,0.58,0.584
Ludacris,Rollout (My Business),2001,"hip hop, pop",4.94,60,0.921,0.892
Blazin' Squad,Crossroads - Radio Edit,2012,set(),3.14,40,0.661,0.502
Default,Wasting My Time,2001,"rock, pop, metal",4.48,40,0.443,0.17
Michelle Branch,All You Wanted,2001,"pop, Folk/Acoustic",3.63,60,0.499,0.652
Daniel Bedingfield,If You're Not The One,2002,pop,4.28,58,0.688,0.27
Enrique Iglesias,Escape,2001,"pop, latin",3.48,56,0.776,0.868
Puddle Of Mudd,Blurry,2001,"rock, metal",5.07,64,0.432,0.499
Coldplay,In My Place,2002,"rock, pop",3.78,72,0.424,0.193
Outkast,The Whole World (feat. Killer Mike),2001,"hip hop, pop",4.92,51,0.814,0.717
P!nk,Don't Let Me Get Me - Radio Edit,2001,pop,3.51,60,0.624,0.615
50 Cent,In Da Club,2003,"hip hop, pop",3.22,81,0.899,0.777
Sean Paul,Get Busy,2002,"hip hop, pop",3.53,74,0.735,0.726
Eminem,"Lose Yourself - From ""8 Mile"" Soundtrack",2004,hip hop,5.37,77,0.686,0.0596
Beyoncé,Crazy In Love (feat. Jay-Z),2003,"pop, R&B",3.94,76,0.646,0.681
Counting Crows,Big Yellow Taxi,2003,"rock, pop",3.76,50,0.669,0.827
Black Eyed Peas,Where Is The Love?,2003,"hip hop, pop",4.54,68,0.835,0.828
